ENGLISH,,,,,,,,,Symbol Key
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,(P) College Prep
653635,Freshman English (P),9,,,,Yes- Area B,,,(HP) Weighted College Prep
653640,Honors Freshman English (P) ,9,,,,Yes- Area B,,,(xP) Pending UC Approval College Prep
653655,Sophomore English (P),,10,,,Yes- Area B,,,(xHP) Pending UC Approval Weighted College Prep
653660,Honors Sophomore English (P) ,,10,,,Yes- Area B,,,(sem) Semester Course
653795,Junior English (P),,,11,,Yes- Area B,,,
653800,Honors Junior English (HP),,,11,,Yes- Area B,,,Course descriptions and details can be found
653435,AP English Language (HP),,,11,,Yes- Area B,,,in the 2026-2027 Course Catalog
653000,African Amercan Literature (P),,,11,12,Yes- Area B,,,
653440,British Literature (P),,,,12,Yes- Area B,,,
654730,CSU Expository Reading & Writing (P),,,,12,Yes- Area B,,,
653210,Literature & Dynamics of Social Justice (P),,,,12,Yes- Area B,,,
653425,AP English Literature & Comp (HP),,,,12,Yes- Area B,,,
ENGLISH ELECTIVES,,,,,,,,,
653310,Publications/Yearbook (P),9,10,11,12,Yes- Area G,,,
653315,Advanced Publications/Yearbook (P),,10,11,12,Yes- Area G,,,
653390,Debate 1 & 2,9,10,11,12,Yes- Area G,,,
MATHEMATICS,,,,,,,,,
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,
*Students will be placed in course recommended by current math teacher.* ,,,,,,,,,
697170,Algebra I (P),9,10,11,12,Yes- Area C,,,
697100,Geometry (P),9,10,11,12,Yes- Area C,,,
697110,Honors Geometry (P),9,10,11,12,Yes- Area C,,,
697080,Algebra II (P),9,10,11,12,Yes- Area C,,,
697090,Honors Algebra II (P),9,10,11,12,Yes- Area C,,,
697175,Math II (P),,10,11,12,Yes- Area C,,,
697105,Geo/Alg II: Course 1 (P),,10,,,Yes- Area C,,,
697107,Algebra II/Precalc:Course 2 (P),,,11,,Yes- Area C,,,
697180,Math III (P),,,11,12,Yes- Area C,,,
697185,Math IV (P),,,,12,Yes- Area C,,,
697200,Pre-Calculus (P),,,11,12,Yes- Area C,,,
697120,Honors Pre-Calculus (HP),,10,11,12,Yes- Area C,,,
697205,Calculus (P),,,11,12,Yes- Area C,,,
697230,AP Calculus AB (HP) ,,10,11,12,Yes- Area C,,,
697240,AP Calculus BC (HP) ,,10,11,12,Yes- Area C,,,
697145,AP Statistics (HP),,,11,12,Yes- Area C,,,
697140,Data Science (P),9,10,11,12,Yes- Area C,New Course 25-26,,
697370,AP Computer Science (HP),,10,11,12,Yes- Area C,,,
HISTORY/SOCIAL SCIENCE,,,,,,,,,
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,
748300,Ethnic Studies (P)(sem),9,,,,Yes- Area A,,,
748450,World History (P),,10,,,Yes- Area A,,,
748533,Honors World History (P) ,,10,,,Yes- Area A,,,
748310,AP World History (HP) ,,10,,,Yes- Area A,,,
748180,U.S. History (P),,,11,,Yes- Area A,,,
748200,AP U.S. History (HP) ,,,11,,Yes- Area A,,,
748205,AP African American Studies (xHP) ,,,11,,Yes- Area A Pending,Offered at PVA ONLY/Meets US History Requirement/New Course 25-26,,
748220,Civics (P) (sem),,,,12,Yes- Area A,,,
748260,Economics (P) (sem),,,,12,Yes- Area G,,,
748240,AP Govt & Politics (HP) (sem),,,,12,Yes- Area A,,,
748290,AP Macroeconomics (HP) (sem),,,,12,Yes- Area G,,,
748445,"Hon US Gov / Pol ""We the People"" (HP) ",,,,12,Yes- Area A,Must take AP Gov/AP Macro Concurrently,,
748320,AP Human Geography (HP) ,,10,11,12,Yes- Area A,,,
748380,AP Psychology (HP) ,,,11,12,Yes- Area G,,,
SCIENCE,,,,,,,,,
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,
737500,Biology (P),9,10,11,12,Yes- Area D,,,
737400,Principles of Biomedical Science (P) (PLTW/R.O.P),9,10,11,12,Yes- Area D,,,
737300,Earth & Space (P),9,10,11,12,Yes- Area D,,,
737660,Chemistry (P),9,10,11,12,Yes- Area D,,,
772122,Honors Human Body Systems (HP) (PLTW),,10,11,12,Yes- Area D,,,
737570,Zoology (P),,10,11,12,Yes- Area D,,,
737450,AP Biology (HP),,10,11,12,Yes- Area D,,,
737700,Physics (P),,10,11,12,Yes- Area D,,,
751272,Honors Medical Interventions (HP) (PLTW),,,11,12,Yes- Area D,,,
751665,AP Environmental Sci (HP) (R.O.P),,,11,12,Yes- Area D,,,
751685,Honors Environmental Sustainability (HP) (PLTW),,,,12,Yes- Area D,,,
737680,AP Chemistry (HP) ,,,11,12,Yes- Area D,,,
737698,AP Physics C: Elec & Magn (HP) (sem),,,11,12,Yes- Area D,,,
737690,AP Physics C: Mechanics (HP) (sem),,,11,12,Yes- Area D,,,
VISUAL AND PERFORMING ARTS,,,,,,,,,
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,
VISUAL ARTS,,,,,,,,,
624010,Art 1 (P),9,10,11,12,Yes- Area F,,,
Pending,Honors Art 2 (xHP),,10,11,12,Yes- Area F,,,
624350,Photography 1 (P),9,10,11,12,Yes- Area F,,,
624390,Photography 2 (P),,10,11,12,Yes- Area F,,,
624415,Photography 3 (P),,,11,12,Yes- Area F,,,
624120,Digital Art (P),9,10,11,12,Yes- Area F,,,
624210,Ceramics 1 (P),9,10,11,12,Yes- Area F,,,
Pending,Honors Ceramics 2 (xHP),,10,11,12,Yes- Area F,,,
624291,AP 2-D Art and Design (HP),,,11,12,Yes- Area F,,,
624293,AP 3-D Art and Design (HP),,,11,12,Yes- Area F,,,
624283,AP Drawing (HP),,,11,12,Yes- Area F,,,
624310,Video Production 1 (P),9,10,11,12,Yes- Area F,,,
624320,Video Production 2 (P),,10,11,12,Yes- Area F,,,
624300,Video Production 3 (P),,,11,12,Yes- Area F,,,
624100,Art History (P),,,11,12,Yes- Area F,Offered at PVA ONLY,,
PERFORMING ARTS,,,,,,,,,
644501,Drama 1 (P),9,10,11,12,Yes- Area F,,,
644502,Drama 2 (P),,10,11,12,Yes- Area F,,,
644505,Advanced Drama (P),,,11,12,Yes- Area F,,,
644508,Theatre Production (P),9,10,11,12,Yes- Area F,,,
704843,Concert Choir (P),9,10,11,12,Yes- Area F,7-Period Day Qualifier,,
704830,Treble Choir (P),,10,11,12,Yes- Area F,7-Period Day Qualifier,,
704845,Honors Choir (HP),9,10,11,12,Yes- Area F,7-Period Day Qualifier,,
704820,Vocal Jazz Ensemble (P),,10,11,12,Yes- Area F,7-Period Day Qualifier,,
"704650 (concert), 704630 (brass), 704640 (woodwind)",Concert Band (P),9,,,,Yes- Area F,7-Period Day Qualifier,,
704610,Percussion Band (P),9,10,11,12,Yes- Area F,7-Period Day Qualifier,,
704585,Symphonic Band (P),,10,11,12,Yes- Area F,7-Period Day Qualifier,,
704710,"Jazz 2 (Jazz Band ""B) (P)",9,10,11,12,Yes- Area F,7-Period Day Qualifier,,
704860,Color Guard (P),9,10,11,12,Yes- Area F,7-Period Day Qualifier,,
704570,Honors Wind Ensemble (HP),9,10,11,12,Yes- Area F,7-Period Day Qualifier,,
704705,Honors Jazz Band (HP),9,10,11,12,Yes- Area F,7-Period Day Qualifier,,
704880,String Orchestra (P),9,10,11,12,Yes- Area F,7-Period Day Qualifier,,
704890,Honors Orchestra (HP),,10,11,12,Yes- Area F,7-Period Day Qualifier,,
704900,AP Music Theory (HP),,,11,12,Yes- Area F,,,
WORLD LANGUAGE,,,,,,,,,
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,
665495,American Sign Language I (P),9,10,11,12,Yes- Area E,,,
665500,American Sign Language II (P),9,10,11,12,Yes- Area E,,,
665510,American Sign Language III (P),,,11,12,Yes- Area E,,,
665515,American Sign Language IV (P),,,11,12,Yes- Area E,,,
665000,French I (P),9,10,11,12,Yes- Area E,,,
665020,French II (P),9,10,11,12,Yes- Area E,,,
665040,French III (P),9,10,11,12,Yes- Area E,,,
665065,AP French Language and Culture (HP),,10,11,12,Yes- Area E,,,
665085,French V Honors (HP),,,11,12,Yes- Area E,,,
665400,Japanese I (P),9,10,11,12,Yes- Area E,,,
665410,Japanese II (P),9,10,11,12,Yes- Area E,,,
665420,Japanese III (P),,10,11,12,Yes- Area E,,,
665380,AP Japanese Language and Culture (HP),,,11,12,Yes- Area E,,,
665390,Japanese V Honors (HP),,,,12,Yes- Area E,,,
665535,Korean I (P),9,10,11,12,Yes- Area E,Offered at PVA ONLY,,
665540,Korean II (P),9,10,11,12,Yes- Area E,Offered at PVA ONLY,,
665545,Korean III (P),9,10,11,12,Yes- Area E,Offered at PVA ONLY,,
665550,Honors Korean IV (HP),9,10,11,12,Yes- Area E,Offered at PVA ONLY,,
665100,Spanish I (P),9,10,11,12,Yes- Area E,,,
665120,Spanish II (P),9,10,11,12,Yes- Area E,,,
665140,Spanish III (P),9,10,11,12,Yes- Area E,,,
665165,AP Spanish Language and Culture (HP),9,10,11,12,Yes- Area E,,,
665185,AP Spanish Literature and Culture (HP),9,10,11,12,Yes- Area E,,,
ADDITIONAL COURSES,,,,,,,,,
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,
748365,AP Seminar (HP),,10,11,,Yes- Area G,Offered at PVA ONLY,,
748375,AP Research (HP),,,11,12,Yes- Area G,Offered at PVA ONLY,,
748499,International Relations (P),,10,11,12,Yes- Area G,Offered at PVA ONLY,,
770251,Leap I (xP),9,10,,,Yes- Area G Pending,"New Course 26-27, 7-Period Day Qualifier",,
770252,Leap II (xP),,,11,12,Yes- Area G Pending,"New Course 26-27, 7-Period Day Qualifier",,
772040,Academic Support/Study Skills,9,10,11,12,No,7-Period Day Qualifier,,
697490,Peer Academic Tutor,,10,11,12,No,,,
770140,Student Leadership (P),9,10,11,12,Yes- Area G,7-Period Day Qualifier,,
748390,Student Board Trustee (P),,,11,12,Yes- Area G,,,
772055,Special Education Tutor,,,11,12,No,,,
779350,Teaching Assistant (TA),,,11,12,No,,,
632900,General Work Experience (P),,,11,12,Yes- Area G,Offered at PVA ONLY,,
PHYSICAL EDUCATION,,,,,,,,,
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,
712223,PE Course 1-Freshmen,9,,,,No,,,
712275,PE Course 2- Team Sports,,10,11,12,No,,,
712295,PE Course 2- Fitness Walking & Yoga,,10,11,12,No,New Course 25-26,,
712285,PE Course 2- Lifetime Fitness,,10,11,12,No,,,
712290,PE Course 2- Weight Training & Conditioning,,10,11,12,No,,,
712250,PE Course 2- Athletic PE,,10,11,12,No,Football/Baseball Athletes,,
CAREER AND TECHNICAL EDUCATION,,,,,,,,,
Course Code,Course Title,Grade Level (s),,,,A-G (College Prep),Considerations,,
751245,Animation & Motion Graphics I (P) (R.O.P),,,11,12,Yes- Area F,Offered at DHS ONLY,,
751241,Honors Artist Portfolio (HP) (R.O.P),,,11,12,Yes- Area F,Offered at DHS ONLY,,
751225,Video Game Art & Design (P) (R.O.P),,,11,12,Yes- Area F,Offered at DHS ONLY,,
632750,Child Growth and Development (P),,10,11,12,Yes- Area G,,,
751801,Developmental Psychology of Children I (P) (R.O.P),,,11,12,Yes- Area G,2 Periods,,
751802,Developmental Psychology of Children II (P) (R.O.P),,,,12,Yes- Area G,2 Periods,,
632775,Intro to Engineering Design (P) (PLTW),9,10,11,12,Yes- Area D,Meets the 3rd year of Science,,
632800,Principles of Engineering (P),,10,11,12,Yes- Area D,Meets the 3rd year of Science,,
632802,Honors Principles of Engineering (HP) (PLTW/R.O.P),,10,11,12,Yes- Area D,Meets the 3rd year of Science,,
686432,Honors Aerospace Engineering (HP) (PLTW/R.O.P),,,11,12,Yes- Area D,Meets the 3rd year of Science/NOT offered 25-26 school year,,
632882,Honors Civil Engineering and Architecture (HP) (PLTW/R.O.P),,,11,12,Yes- Area D,Meets the 3rd year of Science,,
686442,Honors Digital Electronics (HP) (PLTW/R.O.P),,,11,12,Yes- Area D,Meets the 3rd year of Science,,
717014,Computer Integrated Manufacturing (P) (PLTW/R.O.P),,,11,12,Yes- Area D,Meets the 3rd year of Science,,
717015,Honors Computer Integrated Manufacturing (HP) (PLTW),,,11,12,Yes- Area D,Meets the 3rd year of Science,,
728021,Health Education (P),9,,,,Yes- Area G,,,
751470,Introduction to Health Careers (P) (R.O.P),,,11,12,Yes- Area G,"Offered at DHS, GHS, LHS",,
751760,Medical Occupations (P) (R.O.P),,,11,12,Yes- Area G,2 Periods,,
751490,Nursing Careers (P) (R.O.P),,,11,12,Yes- Area G,2 Periods,,
751090,Sports Medicine/Athletic Trainer I (P) (R.O.P),,10,11,12,Yes- Area G,,,
751550,Sports Medicine II (P) (R.O.P),,,11,12,Yes- Area G,,,
676060,Culinary Skills (P),9,10,11,12,Yes- Area G,,,
676430,Baking and Pastry (P),9,10,11,12,Yes- Area G,,,
676335,Honors Culinary and Catering (HP),,10,11,12,Yes- Area G ,New Course 25-26,,
686570,Computer Science Principles (P) (PLTW),9,10,11,12,Yes- Area D,Meets the 3rd year of Science,,
751159,Cybersecurity (P) (PLTW),,10,11,12,Yes- Area G,,,
697375,Advanced Computer Science for the Contemporary World (P),,,11,12,Yes- Area G,,,
751152,Internet Engineering I (CCNA1) (P) (R.O.P),,,11,12,Yes- Area G,Offered at LHS ONLY,,
751154,Internet Engineering II (CCNA2) (P) (R.O.P),,,11,12,Yes- Area G,Offered at LHS ONLY,,
751819,Integrated Marketing Communications (P) (R.O.P),,10,11,12,Yes- Area G,,,
751818,Economics of Business Ownership (P) (R.O.P),,,11,12,Yes- Area G,,,
751825,Sports and Entertainment Marketing (P) (R.O.P),,,11,12,Yes- Area G,Not offered 25-26,,
751125,Introduction to Criminal Justice (P) (R.O.P),,10,11,12,Yes- Area G,,,
751430,Criminal Justice Academy (HP) (R.O.P),,,11,12,Yes- Area G,Offered at Las Positas ONLY,,
751480,Emergency Medical Responder (R.O.P) (sem),,,11,12,No,Evening Class,,
751000,Auto Body Repair I (P) (R.O.P),,,11,12,Yes- Area G,Offered at LHS ONLY,,
751010,Advanced Auto Body Repair (P) (R.O.P),,,11,12,Yes- Area G,Offered at LHS ONLY,,
751060,Automotive Technology (P) (R.O.P),,,11,12,Yes- Area G,Offered at LHS ONLY,,
751021,Construction Technology 1 (P) (R.O.P),,,11,12,Yes- Area G,Offered at EHS ONLY,,
Pending,Construction Technology 2 (xP) (R.O.P),,,,12,pending,Offered at EHS ONLY,,

mv src/data/foothill_catalog.csv data/foothill_catalog.csv
